
Generating Trend... 

Date 		  Closing 	  Delta       Movement 	    Trend 
27-Jun-2014       7508.80         15          Up            Reverse
30-Jun-2014       7611.35         102         Up            Follows

01-Jul-2014       7634.70         23          Up            Follows
02-Jul-2014       7725.15         90          Up            Follows
03-Jul-2014       7714.80         -10         Down          Reverse
04-Jul-2014       7751.60         36          Up            Reverse
07-Jul-2014       7787.15         35          Up            Follows
08-Jul-2014       7623.20         -163        Down          Reverse
09-Jul-2014       7585.00         -38         Down          Follows
10-Jul-2014       7567.75         -17         Down          Follows
11-Jul-2014       7459.60         -108        Down          Follows
14-Jul-2014       7454.15         -5          Down          Follows
15-Jul-2014       7526.65         72          Up            Reverse
16-Jul-2014       7624.40         97          Up            Follows
17-Jul-2014       7640.45         16          Up            Follows
18-Jul-2014       7663.90         23          Up            Follows
21-Jul-2014       7684.20         20          Up            Follows
22-Jul-2014       7767.85         83          Up            Follows
23-Jul-2014       7795.75         27          Up            Follows
24-Jul-2014       7830.60         34          Up            Follows
25-Jul-2014       7790.45         -40         Down          Reverse
28-Jul-2014       7748.70         -41         Down          Follows
30-Jul-2014       7791.40         42          Up            Reverse
31-Jul-2014       7721.30         -70         Down          Reverse

01-Aug-2014       7602.60         -118        Down          Follows
04-Aug-2014       7683.65         81          Up            Reverse
05-Aug-2014       7746.55         62          Up            Follows
06-Aug-2014       7672.05         -74         Down          Reverse
07-Aug-2014       7649.25         -22         Down          Follows
08-Aug-2014       7568.55         -80         Down          Follows
11-Aug-2014       7625.95         57          Up            Reverse
12-Aug-2014       7727.05         101         Up            Follows
13-Aug-2014       7739.55         12          Up            Follows
14-Aug-2014       7791.70         52          Up            Follows
18-Aug-2014       7874.25         82          Up            Follows
19-Aug-2014       7897.50         23          Up            Follows
20-Aug-2014       7875.30         -22         Down          Reverse
21-Aug-2014       7891.10         15          Up            Reverse
22-Aug-2014       7913.20         22          Up            Follows
25-Aug-2014       7906.30         -6          Down          Reverse
26-Aug-2014       7904.75         -1          Down          Follows
